age,avg(prediction)
[70-80),0.4701274290401155
[90-100),0.4393574276918335
[40-50),0.4537352812660922
[10-20),0.40137526350750785
[20-30),0.46058455206254817
[30-40),0.4325848045939877
[0-10),0.30586247241086745
[80-90),0.4633664703681194
[50-60),0.45188039006242475
[60-70),0.4633848263902463
